stamp	navigation_system	satellite_num	satellite_frequency 1 3 3	elevation	azimuth	
     0	22	107	0	0	25	10753
     0	29	122	0	0	27	24064
     2	5	187	174	0	44	42496
     0	26	195	154	0	50	55808
     2	15	128	106	0	22	9216
     4	193	171	172	0	43	43264
     5	14	180	199	0	55	50688
     0	32	178	137	0	65	27904
     3	19	160	165	125	80	44544
     5	3	154	180	0	50	49920
     5	4	128	0	0	31	30976
     3	1	186	178	140	57	64000
     1	128	116	0	0	211	0
     1	137	153	0	0	43	34816
     1	129	154	0	0	43	34816
    10	14	186	0	0	43	35328
--------------------------
1568299137.039
     5	10	164	184	0	48	57600
     5	7	171	160	0	72	57344
     2	9	120	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	110	0	0	25	10753
     0	29	124	0	0	27	24064
     2	5	186	175	0	44	42496
     0	26	195	153	0	50	55808
     2	15	127	110	0	22	9216
     4	193	172	172	0	43	43264
     5	14	182	198	0	55	50688
     0	32	178	135	0	65	27904
     3	19	160	166	123	80	44544
     5	3	153	180	0	50	49920
     3	1	188	179	138	57	64000
     1	128	118	0	0	211	0
     1	137	154	0	0	43	34816
     1	129	153	0	0	43	34816
    10	14	186	0	0	43	35328
--------------------------
1568299138.034
     5	10	164	186	0	48	57600
     5	7	170	159	0	72	57344
     2	9	115	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	109	0	0	25	10753
     0	29	123	0	0	27	24064
     2	5	188	174	0	44	42496
     0	26	194	153	0	50	55808
     2	15	128	108	0	22	9216
     4	193	172	171	0	43	43264
     5	14	182	198	0	55	50688
     0	32	181	136	0	65	27904
     3	19	161	166	126	80	44544
     5	3	153	180	0	50	49920
     3	1	187	179	138	57	64000
     1	128	117	0	0	211	0
     1	137	153	0	0	43	34816
     1	129	156	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299139.045
     5	10	163	187	0	48	57600
     5	7	168	158	0	72	57344
     2	9	118	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	105	0	0	25	10753
     0	29	124	0	0	27	24064
     2	5	188	173	0	44	42496
     0	26	193	154	0	50	55808
     2	15	128	107	0	22	9216
     4	193	172	170	0	43	43264
     5	14	182	199	0	55	50688
     0	32	183	136	0	65	27904
     3	19	160	166	127	80	44544
     5	3	153	181	0	50	49920
     5	4	128	0	0	31	30976
     3	1	188	180	139	57	64000
     1	128	110	0	0	211	0
     1	137	154	0	0	43	34816
     1	129	153	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299140.031
     5	10	163	186	0	48	57600
     5	7	170	160	0	72	57344
     2	9	116	0	0	26	65024
     5	1	153	181	0	46	36608
     0	22	105	0	0	25	10753
     0	29	127	0	0	27	24064
     2	5	187	172	0	44	42496
     0	26	194	154	0	50	55808
     2	15	127	105	0	22	9216
     4	193	172	171	0	43	43264
     5	14	184	199	0	55	50688
     0	32	184	140	0	65	27904
     3	19	161	167	123	80	44544
     5	3	153	181	0	50	49920
     5	4	127	0	0	31	30976
     3	1	189	180	139	57	64000
     1	128	114	0	0	211	0
     1	137	152	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299141.030
     5	10	164	185	0	48	57600
     5	7	169	158	0	72	57344
     2	9	114	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	105	0	0	25	10753
     0	29	127	0	0	27	24064
     2	5	187	172	0	44	42496
     0	26	193	153	0	50	55808
     2	15	129	105	0	22	9216
     4	193	171	172	0	43	43264
     5	14	182	198	0	55	50688
     0	32	183	138	0	65	27904
     3	19	160	166	125	80	44544
     5	3	153	180	0	50	49920
     5	4	128	0	0	31	30976
     3	1	188	181	141	57	64000
     1	128	117	0	0	211	0
     1	137	156	0	0	43	34816
     1	129	147	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299142.026
     5	10	165	185	0	48	57600
     5	7	169	157	0	72	57344
     2	9	113	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	109	0	0	25	10753
     0	29	123	0	0	27	24064
     2	5	188	171	0	44	42496
     0	26	194	151	0	50	55808
     2	15	127	101	0	22	9216
     4	193	170	170	0	43	43264
     5	14	182	198	0	55	50688
     0	32	182	137	0	65	27904
     3	19	160	166	124	80	44544
     5	3	153	180	0	50	49920
     5	4	129	0	0	31	30976
     3	1	187	181	139	57	64000
     1	128	114	0	0	36	59648
     1	137	154	0	0	43	34816
     1	129	151	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299143.025
     5	10	163	185	0	48	57600
     5	7	170	158	0	72	57344
     2	9	113	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	109	0	0	25	10753
     0	29	126	0	0	27	24064
     2	5	188	172	0	44	42496
     0	26	194	153	0	50	55808
     2	15	128	96	0	22	9216
     4	193	170	171	0	43	43264
     5	14	182	198	0	55	50688
     0	32	180	137	0	65	27904
     3	19	159	167	128	80	44544
     5	3	153	180	0	50	49920
     5	4	126	0	0	31	30976
     3	1	188	180	137	57	64000
     1	128	117	0	0	36	59648
     1	137	155	0	0	43	34816
     1	129	149	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299144.016
     5	10	164	184	0	48	57600
     5	7	170	160	0	72	57344
     2	9	113	0	0	26	65024
     5	1	153	181	0	46	36608
     0	22	109	0	0	25	10753
     0	29	126	0	0	27	24064
     2	5	190	171	0	44	42496
     0	26	194	153	0	50	55808
     2	15	126	98	0	22	9216
     4	193	170	170	0	43	43264
     5	14	182	199	0	55	50688
     0	32	180	136	0	65	27904
     3	19	158	168	127	80	44544
     5	3	153	180	0	50	49920
     3	1	187	179	140	57	64000
     5	2	122	0	0	36	59392
     1	128	116	0	0	36	59648
     1	137	156	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299145.019
     5	10	163	184	0	48	57600
     5	7	171	160	0	72	57344
     2	9	114	0	0	26	65024
     5	1	152	181	0	46	36608
     0	22	105	0	0	25	10753
     0	29	122	0	0	27	24064
     2	5	191	170	0	44	42496
     0	26	195	152	0	50	55808
     2	15	126	92	0	22	9216
     4	193	172	170	0	43	43264
     5	14	182	196	0	55	50688
     0	32	182	136	0	65	27904
     3	19	158	168	128	80	44544
     5	3	153	180	0	50	49920
     3	1	187	180	140	57	64000
     5	2	126	0	0	36	59392
     1	128	118	0	0	36	59648
     1	137	154	0	0	43	34816
     1	129	153	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299146.012
     5	10	163	185	0	48	57600
     5	7	169	160	0	72	57344
     2	9	114	0	0	26	65024
     5	1	152	180	0	46	36608
     0	22	109	0	0	25	10753
     0	29	128	0	0	27	24064
     2	5	188	171	0	44	42496
     0	26	195	150	0	50	55808
     2	15	127	95	0	22	9216
     4	193	172	170	0	43	43264
     5	14	180	197	0	55	50688
     0	32	183	134	0	65	27904
     3	19	158	168	128	80	44544
     5	3	153	181	0	50	49920
     3	1	185	179	139	57	64000
     1	128	115	0	0	36	59648
     1	137	156	0	0	43	34816
     1	129	152	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299150.085
     5	10	163	185	0	48	57600
     5	7	169	159	0	72	57344
     2	9	110	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	109	0	0	25	10753
     0	29	130	0	0	27	24064
     2	5	188	171	0	44	42496
     0	26	196	151	0	50	55808
     2	15	127	90	0	22	9216
